type,time,latitude,longitude,altitude (m),name,desc
T,01/01/2018 2:08,45.506657,-73.663467,13,,
T,01/01/2018 2:08,45.507126,-73.663177,14,,
T,01/01/2018 2:08,45.507618,-73.662903,14,,
T,01/01/2018 2:08,45.508266,-73.662491,13,,
T,01/01/2018 2:08,45.508881,-73.662117,11,,
T,01/01/2018 2:08,45.509487,-73.661736,11,,
T,01/01/2018 2:08,45.509926,-73.6614,9,,
T,01/01/2018 2:08,45.510536,-73.661034,6,,
T,01/01/2018 2:08,45.511139,-73.660652,4,,
T,01/01/2018 2:08,45.511585,-73.660393,7,,
T,01/01/2018 2:08,45.512028,-73.660088,6,,
T,01/01/2018 2:08,45.512619,-73.659698,6,,
T,01/01/2018 2:08,45.513271,-73.659279,8,,
T,01/01/2018 2:08,45.513775,-73.658958,7,,
T,01/01/2018 2:08,45.514259,-73.658661,7,,
T,01/01/2018 2:08,45.514877,-73.658264,7,,
T,01/01/2018 2:08,45.515305,-73.657944,10,,
T,01/01/2018 2:09,45.515881,-73.657555,9,,
T,01/01/2018 2:09,45.516518,-73.657135,7,,
T,01/01/2018 2:09,45.516987,-73.656822,8,,
T,01/01/2018 2:09,45.517456,-73.656517,8,,
T,01/01/2018 2:09,45.518044,-73.65609,11,,
T,01/01/2018 2:09,45.518612,-73.655716,15,,
T,01/01/2018 2:09,45.519032,-73.655426,16,,
T,01/01/2018 2:09,45.519485,-73.655167,15,,
T,01/01/2018 2:09,45.519939,-73.654884,16,,
T,01/01/2018 2:09,45.520515,-73.654495,17,,
T,01/01/2018 2:09,45.521107,-73.654152,12,,
T,01/01/2018 2:09,45.521584,-73.653893,12,,
T,01/01/2018 2:09,45.522171,-73.653511,13,,
T,01/01/2018 2:09,45.522614,-73.653252,12,,
T,01/01/2018 2:09,45.523079,-73.652992,10,,
T,01/01/2018 2:09,45.523701,-73.652687,8,,
T,01/01/2018 2:09,45.524323,-73.652405,8,,
T,01/01/2018 2:09,45.524796,-73.652199,7,,
T,01/01/2018 2:10,45.525417,-73.651955,6,,
T,01/01/2018 2:10,45.526062,-73.651703,4,,
T,01/01/2018 2:10,45.526733,-73.651505,1,,
T,01/01/2018 2:10,45.527195,-73.651283,-1,,
T,01/01/2018 2:10,45.527828,-73.651039,-2,,
T,01/01/2018 2:10,45.528225,-73.650749,-2,,
T,01/01/2018 2:10,45.528732,-73.650314,-1,,
T,01/01/2018 2:10,45.52914,-73.649933,-4,,
T,01/01/2018 2:10,45.529549,-73.649559,-3,,
T,01/01/2018 2:10,45.529964,-73.649185,-3,,
T,01/01/2018 2:10,45.530396,-73.648827,-4,,
T,01/01/2018 2:10,45.530964,-73.648399,-2,,
T,01/01/2018 2:10,45.531563,-73.648041,0,,
